"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRT","Portugal","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29563,,
"SVK","Slovak Republic","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,8896,,
"ESP","Spain","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29819,,
"SWE","Sweden","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,69899,,
"CHE","Switzerland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,120265,,
"TUR","Turkey","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,3886,,
"GBR","United Kingdom","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,69927,,
"USA","United States","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,163268,,
"BRA","Brazil","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,7566,"E","Estimated value"
"CHL","Chile","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,18172,,
"EST","Estonia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,15728,,
"ISR","Israel","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,50051,,
"RUS","Russia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,3687,"E","Estimated value"
"SVN","Slovenia","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,17271,,
"OECD","OECD - Total","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,84547,,
"AUS","Australia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,48836,"E","Estimated value"
"AUT","Austria","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,55623,"E","Estimated value"
"BEL","Belgium","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,89057,"E","Estimated value"
"CAN","Canada","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,75775,"E","Estimated value"
"CZE","Czech Republic","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,20170,"E","Estimated value"
"DNK","Denmark","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,54839,"E","Estimated value"
"FIN","Finland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,24482,"E","Estimated value"
"FRA","France","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,53851,"E","Estimated value"
"DEU","Germany","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,49822,"E","Estimated value"
"GRC","Greece","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,17568,"E","Estimated value"
"HUN","Hungary","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,17774,"E","Estimated value"
"ISL","Iceland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,54275,"E","Estimated value"
"IRL","Ireland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,31861,"E","Estimated value"
"ITA","Italy","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,56833,"E","Estimated value"
"JPN","Japan","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,92818,"E","Estimated value"
"KOR","Korea","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,30852,"E","Estimated value"
"LUX","Luxembourg","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,64500,"E","Estimated value"
"MEX","Mexico","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,9856,"E","Estimated value"
"NLD","Netherlands","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,71251,"E","Estimated value"
"NZL","New Zealand","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,81271,"E","Estimated value"
"NOR","Norway","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,16930,"E","Estimated value"
"POL","Poland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,12902,"E","Estimated value"
"PRT","Portugal","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,29563,"E","Estimated value"
"SVK","Slovak Republic","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,8896,"E","Estimated value"
"ESP","Spain","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,29819,"E","Estimated value"
"SWE","Sweden","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,69899,"E","Estimated value"
"CHE","Switzerland","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,120265,"E","Estimated value"
"TUR","Turkey","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,3886,"E","Estimated value"
"GBR","United Kingdom","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,69927,"E","Estimated value"
"USA","United States","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,163268,"E","Estimated value"
"BRA","Brazil","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,7566,"E","Estimated value"
"CHL","Chile","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,18172,"E","Estimated value"
"EST","Estonia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,15728,"E","Estimated value"
"ISR","Israel","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,50051,"E","Estimated value"
"RUS","Russia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,3687,"E","Estimated value"
"SVN","Slovenia","IW_HNFW","Household net financial wealth","L","Value","MN","Men","USD","US Dollar","0","Units",,,17271,"E","Estimated value"
"AUS","Australia","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,48836,"E","Estimated value"
"AUT","Austria","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,55623,"E","Estimated value"
"BEL","Belgium","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,89057,"E","Estimated value"
"CAN","Canada","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,75775,"E","Estimated value"
"CZE","Czech Republic","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,20170,"E","Estimated value"
"DNK","Denmark","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,54839,"E","Estimated value"
"FIN","Finland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,24482,"E","Estimated value"
"FRA","France","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,53851,"E","Estimated value"
"DEU","Germany","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,49822,"E","Estimated value"
"GRC","Greece","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,17568,"E","Estimated value"
"HUN","Hungary","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,17774,"E","Estimated value"
"ISL","Iceland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,54275,"E","Estimated value"
"IRL","Ireland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,31861,"E","Estimated value"
"ITA","Italy","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,56833,"E","Estimated value"
"JPN","Japan","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,92818,"E","Estimated value"
"KOR","Korea","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,30852,"E","Estimated value"
"LUX","Luxembourg","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,64500,"E","Estimated value"
"MEX","Mexico","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,9856,"E","Estimated value"
"NLD","Netherlands","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,71251,"E","Estimated value"
"NZL","New Zealand","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,81271,"E","Estimated value"
"NOR","Norway","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,16930,"E","Estimated value"
"POL","Poland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,12902,"E","Estimated value"
"PRT","Portugal","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,29563,"E","Estimated value"
"SVK","Slovak Republic","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,8896,"E","Estimated value"
"ESP","Spain","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,29819,"E","Estimated value"
"SWE","Sweden","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,69899,"E","Estimated value"
"CHE","Switzerland","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,120265,"E","Estimated value"
"TUR","Turkey","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,3886,"E","Estimated value"
"GBR","United Kingdom","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,69927,"E","Estimated value"
"USA","United States","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,163268,"E","Estimated value"
"BRA","Brazil","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,7566,"E","Estimated value"
"CHL","Chile","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,18172,"E","Estimated value"
"EST","Estonia","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,15728,"E","Estimated value"
"ISR","Israel","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,50051,"E","Estimated value"
"RUS","Russia","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,3687,"E","Estimated value"
"SVN","Slovenia","IW_HNFW","Household net financial wealth","L","Value","WMN","Women","USD","US Dollar","0","Units",,,17271,"E","Estimated value"
"AUS","Australia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,71,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,62,,
"CAN","Canada","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"FRA","France","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,64,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,49,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,62,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,82,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,61,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,57,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"KOR","Korea","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,65,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,60,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,74,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,62,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,63,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,61,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,57,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,80,,
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,50,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"USA","United States","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,68,,
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"CHL","Chile","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,62,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,,
"ISR","Israel","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,68,,
"RUS","Russia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,64,,
"OECD","OECD - Total","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,66,,
"AUS","Australia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,66,,
"CAN","Canada","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,75,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,70,,
"FRA","France","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,58,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,84,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,66,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,66,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,82,,
"KOR","Korea","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,76,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,80,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,66,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,62,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,77,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,84,,
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,70,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,78,,
"USA","United States","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,79,,
"CHL","Chile","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,73,,
"ISR","Israel","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,72,,
"RUS","Russia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,74,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,68,,
"OECD","OECD - Total","JE_EMPL","Employment rate","L","Value","MN","Men","PC","Percentage","0","Units",,,74,,
"AUS","Australia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,66,,
"AUT","Austria","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,67,,
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,58,,
"CAN","Canada","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,69,,
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,61,,
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,70,,
"FIN","Finland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"FRA","France","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,61,,
"DEU","Germany","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,69,,
"GRC","Greece","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,41,,
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,56,,
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,80,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,56,,
"ITA","Italy","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,47,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,64,,
"KOR","Korea","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,55,,
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,61,,
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,44,,
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,69,,
"NOR","Norway","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,73,,
"POL","Poland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,55,,
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,60,,
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,54,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,52,,
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,73,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,75,,
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,30,,
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,68,,
"USA","United States","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,63,,
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,56,,
"CHL","Chile","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,52,,
"EST","Estonia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,66,,
"ISR","Israel","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,64,,
"RUS","Russia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,65,,
"SVN","Slovenia","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,60,,
"OECD","OECD - Total","JE_EMPL","Employment rate","L","Value","WMN","Women","PC","Percentage","0","Units",,,58,,
"AUS","Australia","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,83,"E","Estimated value"
"AUT","Austria","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,86,"E","Estimated value"
"BEL","Belgium","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,81,"E","Estimated value"
"CAN","Canada","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,81,"E","Estimated value"
"CZE","Czech Republic","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,84,"E","Estimated value"
"DNK","Denmark","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,86,"E","Estimated value"
"FIN","Finland","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,84,"E","Estimated value"
"FRA","France","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,82,"E","Estimated value"
"DEU","Germany","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,88,"E","Estimated value"
"GRC","Greece","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,67,"E","Estimated value"
"HUN","Hungary","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,84,"E","Estimated value"
"ISL","Iceland","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,91,"E","Estimated value"
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,81,"E","Estimated value"
"ITA","Italy","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,76,"E","Estimated value"
"JPN","Japan","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,82,"E","Estimated value"
"KOR","Korea","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,78,"E","Estimated value"
"LUX","Luxembourg","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,84,"E","Estimated value"
"MEX","Mexico","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,70,"E","Estimated value"
"NLD","Netherlands","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,86,"E","Estimated value"
"NZL","New Zealand","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,87,"E","Estimated value"
"NOR","Norway","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,88,"E","Estimated value"
"POL","Poland","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,85,"E","Estimated value"
"PRT","Portugal","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,79,"E","Estimated value"
"SVK","Slovak Republic","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,76,"E","Estimated value"
"ESP","Spain","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,57,"E","Estimated value"
"SWE","Sweden","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,88,"E","Estimated value"
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,89,"E","Estimated value"
"TUR","Turkey","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,74,"E","Estimated value"
"GBR","United Kingdom","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,87,"E","Estimated value"
"USA","United States","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,81,"E","Estimated value"
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,85,"E","Estimated value"
"CHL","Chile","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,85,"E","Estimated value"
"EST","Estonia","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,84,"E","Estimated value"
"ISR","Israel","JE_EMPL","Employment rate","L","Value","HGH","High","PC","Percentage","0","Units",,,86,"E","Estimated value"
