Prov Number,Clinic,Division,District,Specialty,Region,Prenatal Care,Postpartum Care,Imm: Child Combo 2,Antidep Med: Contacts,Antidep Med: 84 Days,Antidep Med: 180 Days,Mental Hosp FU: 7 Day,Total PMPM,PCP consult ratio n M'car,PCP consult ratio M'care,% Female-non medicare,% Female-medicare,Avg Age-non medicare,Avg Age-medicare,Panel size-non medicare,Panel size-medicare,ER Visits/1000 non M'care,ER Visits/1000 M'care,% panel vst seen by PCP,% PCP schedule for panel,URI: Appropriate Tx,Pharyngitis: Testing,AOD: Initiation of Tx,Util: 1st Line antib use,ER Visit/1000 non-m'care,PCI ratio non-m'care,MRI/1000 enr-m'care,MRI/1000 enr-NON m'care,CT/1000enr-m'care,CT/1000enr-non m'care,Lab/1000 enr-m'care,Lab/1000 enr-NON m'care,% Generic Rx,CAD: Chol Mgt-LDL Screen,Well-Child Visit 15MO: 6+,Well-Child 3-6 YO,Well-Care Adolescent,Asthma Appropriate Meds,Screen: Chlamydia,Panel - % Medicare,PCP consult ratio,CT-MRI/1000enr-m'care,CT-MRI/1000enr-non m'care,CT-MRI/1000enr-m'care&non,AOD: Engagement of Tx,CAD: Beta Blocker Persist,Total panel size,Panel Inx:agg Pat inx #2,Controlling HBP,Panel Inx:agg Pat inx #1,Child Access 7-11YO,DM: HbA1c Test,DM: Retinal Exam,DM: LDL Screen (Annual),DM: LDL<100 (Annual),DM: LDL<130,DM: Nephropathy,Pri Care Qlty Incent Idx,Screen: Breast CA (40-69),Screen: Cervical CA,Listen carefully to you?,Explain understandably?,Spend enough time w/ you?,Respect what you said?,Your best interests 1st?,Info to diagnose/treat,Knowledge of medical hx,Helpful-clinical staff,Courtesy/Respect-clinical,Helpful-office staff,In exam room w/in 15 min,Wait time explanation,Clinician rating (0-10),Help/advice you needed,Urgent care when wanted,Appt for care when wanted,Get PCP you're happy with,Ease of seeing specialist,Get care believed nec,Overall Health Care,Courtesy/Respect-office
12323,NON,HPD,-,OBSTETRICS/GYNECOLOGY,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12325,CSC,GPD,SEA,"PSYCHIATRY, ADULT",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12327,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12332,CSC,GPD,SEA,OBSTETRICS/GYNECOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8666666667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12333,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12338,CSC,GPD,SEA,"SURGERY, ORTHOPEDIC",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12340,CSC,GPD,SEA,DERMATOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12347,NON,HPD,-,OPHTHALMOLOGY,-, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,0.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12349,CSC,GPD,SEA,RADIATION THERAPY/ONCOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12351,CSC,GPD,SEA,GASTROENTEROLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12352,NON,HPD,-,"PSYCHIATRY, ADULT",-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.125, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12361,CSC,GPD,SEA,GASTROENTEROLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12380,CSC,GPD,SEA,GASTROENTEROLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0555555556, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12384,CSC,GPD,SEA,ANESTHESIOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12392,OVH,HPD,-,"PSYCHIATRY, ADULT",-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12393,CSC,GPD,SEA,OPHTHALMOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12395,CSC,GPD,SEA,NUCLEAR MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12398,CSC,GPD,SEA,OPHTHALMOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8571428571, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12414,VSP,HPD,GHO,"INTERNAL MEDICINE, GENERAL",GHO, , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , ,0.3939393939, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12415,TEC,HPD,GHO,URGENT CARE,GHO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12420,VSP,HPD,GHO,ANESTHESIOLOGY,GHO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.625, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12424,TSC,GPD,TAC,GASTROENTEROLOGY,SO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12437,CSC,GPD,SEA,BEHAVIORAL SCIENCES--OTHER,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12439,CSC,GPD,SEA,"PSYCHIATRY, ADULT",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.3658536585, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12446,OLY,GPD,OLY,FAMILY MEDICINE,SO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5454545455, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12449,VSL,HPD,GHO,"INTERNAL MEDICINE, GENERAL",GHO, , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , ,0.8461538462, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12450,TEC,HPD,GHO,FAMILY MEDICINE,GHO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12458,EVM,GPD,SNOH,FAMILY MEDICINE,EAST, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,0.5454545455, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12461,TEC,HPD,GHO,"SURGERY, ORTHOPEDIC",GHO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12463,TEC,HPD,GHO,FAMILY MEDICINE,GHO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8181818182, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12468,NON,HPD,-,GERONTOLOGY/GERIATRICS,-, , , , , , , , , , , , , , , , , , , , , , , ,0.6666666667, , , , , , , , ,0.6909090909, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12469,TEC,HPD,GHO,RHEUMATOLOGY,GHO, , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , ,0.52593361, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12473,TEC,HPD,GHO,OCCUPATIONAL MEDICINE,GHO, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12477,VMV,HPD,GHO,URGENT CARE,GHO, , , , , , , , , , , , , , , , , , , , , , , ,0.3333333333, , , , , , , , ,0.9473684211, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12479,TEC,HPD,GHO,CONSULTATIVE INTERNAL MEDICINE,GHO, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12491,GHQ,GPD,-,NEPHROLOGY,CENT, , , , , , , , ,2, , , , , , , , , , , , , , ,0.462962963, ,2.005847953, , , , , , ,0.8330494037, , , , , , , ,2, , , , , , , , , , , , , , , , , , , ,0.652173913,0.652173913,0.6956521739,0.6086956522,0.6956521739,0.6086956522,0.5454545455,0.6956521739,0.7391304348,0.8181818182,0.8947368421,0.2857142857,0.6086956522,0.6363636364,0.6818181818,0.619047619,0.6086956522,0.6818181818,0.7142857143,0.5217391304,0.8636363636
12495,CSC,GPD,SEA,"PSYCHIATRY, ADULT",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.4285714286, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12500,VNO,HPD,GHO,"INTERNAL MEDICINE, GENERAL",GHO, , , , , , , ,16735.064,1.260416667, ,0.7, ,31.9, ,1.428571429, ,16.78321678, ,0, , , , ,1,13.71333333,1.133287964, ,0.5, , , ,0,0.5972222222, , , , , , ,0,1.260416667, ,0.5,0.5, , ,1.428571429, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12502,CSC,GPD,SEA,EMERGENCY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12504,CSC,GPD,SEA,"SURGERY, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12517,CSC,GPD,SEA,CARDIOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5785953177, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12518,CSC,GPD,SEA,"INTERNAL MEDICINE, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.88, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12525,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12528,NON,HPD,-,FAMILY MEDICINE,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8421052632, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12529,CSC,GPD,SEA,"INTERNAL MEDICINE, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.7068965517, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12533,CSC,GPD,SEA,OTOLARYNGOLOGY (ENT),CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12536,CSC,GPD,SEA,"PSYCHIATRY, ADULT",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12538,CSC,GPD,SEA,ANESTHESIOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.0714285714, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12540,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.3076923077, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12548,CSC,GPD,SEA,UROLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12550,CSC,GPD,SEA,"INTERNAL MEDICINE, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12553,CSC,GPD,SEA,OBSTETRICS/GYNECOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12555,NON,HPD,-,RADIOLOGY,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12567,CSC,GPD,SEA,ANESTHESIOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , ,0.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12578,CSC,GPD,SEA,OTOLARYNGOLOGY (ENT),CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12583,CSC,GPD,SEA,RHEUMATOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.2857142857, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12586,BWH,HPD,NWD,"INTERNAL MEDICINE, GENERAL",NTWK,1,1, , , , , ,533.4143136,1.319218241,1.0859375,0.4488383589,0.4924623116,49.95056846,73.99623116,168.5833333,66.33333333,0.1301775148,0.3765060241, , , , ,0,0.5882352941,0.1350909091,1.345435905,0.0905660377,0.081928839,0.2851568363,0.0543478261,0.3189033189,0.1716500554,0.773747495,0.8571428571, , ,0,1, ,0.2823696346,1.213143872,0.3770739065,0.1364985163,0.2043248766,0, ,234.9166667,0.5900900901,0,0.8037974684, ,0.9375,0.75,0.875,0,0,1,0.6320754717,0.72,0.8541666667,0.8596491228,0.7719298246,0.701754386,0.9122807018,0.8421052632,0.6842105263,0.8571428571,0.8392857143,0.9649122807,0.7857142857,0.9454545455,0.7368421053,0.8245614035,0.6140350877,0.5818181818,0.4727272727,0.8947368421,0.9056603774,0.9019607843,0.75,0.9298245614
12597,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.6346153846, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12598,CSC,GPD,SEA,ONCOLOGY/HEMATOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12609,CSC,GPD,SEA,ONCOLOGY/HEMATOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5625, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12611,CSC,GPD,SEA,"INTERNAL MEDICINE, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.1111111111, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12615,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12624,CSC,GPD,SEA,ENDOCRINOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12628,CSC,GPD,SEA,"SURGERY, ORTHOPEDIC",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12634,NON,HPD,-,OPHTHALMOLOGY,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12638,CSC,GPD,SEA,DERMATOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.6666666667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12640,CSC,GPD,SEA,"SURGERY, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,0.5897435897, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12642,CSC,GPD,SEA,"SURGERY, PLASTIC",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12643,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5789473684, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12646,CSC,GPD,SEA,ENDOCRINOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12649,NON,HPD,-,OTOLARYNGOLOGY (ENT),-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12651,CSC,GPD,SEA,ENDOCRINOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.7142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12662,NON,HPD,-,"SURGERY, PLASTIC",-, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,0.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12670,CSC,GPD,SEA,EMERGENCY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12680,NON,HPD,-,OPHTHALMOLOGY,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.5833333333, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12685,MPE,GPD,SEA,"PSYCHIATRY, ADULT",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.6711409396, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12689,CSC,GPD,SEA,ENDOCRINOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12695,CSC,GPD,SEA,NEUROLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.6666666667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12698,CSC,GPD,SEA,DERMATOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12700,ESC,GPD,KNG,FAMILY MEDICINE,EAST, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12701,VIS,HPD,GHO,PEDIATRICS,GHO, , , , , , , ,3554.794,4.9, ,0.0666666667, ,12.13333333, ,1.25, ,5.128205128, ,0, , , , , ,5.14,5.100933489, , , , , ,0, , , , ,0, , ,0,4.9, , , , , ,1.25,0, ,0, , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , 
12702,VSP,HPD,GHO,"INTERNAL MEDICINE, GENERAL",GHO, , , , , , , ,25797.82667,0.8284023669, ,1, ,35.66666667, ,1, ,9, ,0, , , , ,0.5, ,0.9062405056, , , , , , ,0.7894736842, , , , , , ,0,0.8284023669, , , , , ,1,1, ,1, , , , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , 
12716,CSC,GPD,SEA,GASTROENTEROLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.1111111111, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12718,CSC,GPD,SEA,"SURGERY, ORTHOPEDIC",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.7142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12719,NON,HPD,-,ALLERGY,-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12729,CSC,GPD,SEA,"SURGERY, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,0.7407407407, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12742,CSC,GPD,SEA,CARDIOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12746,CSC,GPD,SEA,NUCLEAR MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12752,CSC,GPD,SEA,NEUROLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12753,CSC,GPD,SEA,"SURGERY, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12766,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,0.6279069767, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12769,CSC,GPD,SEA,EMERGENCY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12772,CSC,GPD,SEA,EMERGENCY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12773,CSC,GPD,SEA,"INTERNAL MEDICINE, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.375, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12774,CSC,GPD,SEA,UROLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , ,0.5714285714, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12775,CSC,GPD,SEA,OBSTETRICS/GYNECOLOGY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12777,NON,HPD,-,"SURGERY, ORTHOPEDIC",-, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12784,VSP,HPD,GHO,OTOLARYNGOLOGY (ENT),GHO, , , , , , , , , , , , , , , , , , , , , , , ,0.5, , , , , , , , ,0.7333333333, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12788,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.6818181818, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12791,CSC,GPD,SEA,NEUROSURGERY,CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12792,CSC,GPD,SEA,"SURGERY, GENERAL",CENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12796,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12803,CSC,GPD,SEA,FAMILY MEDICINE,CENT, , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , ,0.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
